feature,importance
num__Age,0.14691349083051383
num__NumOfProducts,0.07679611852781651
num__Balance,0.06389241778544931
num__CreditScore,0.05800931991677411
num__RowNumber,0.0576521450686788
num__CustomerId,0.057564727878891386
num__EstimatedSalary,0.057427953083704214
num__Tenure,0.03927997195185827
num__IsActiveMember,0.02650197478333195
cat__Geography_Germany,0.019087564190580282
cat__Geography_France,0.012874312077887936
num__HasCrCard,0.011147841871060358
cat__Gender_Female,0.009294191924629411
cat__Gender_Male,0.008924539470175222
cat__Geography_Spain,0.00832975117726901
cat__Surname_Martin,0.0016466343218459354
cat__Surname_Smith,0.0013515075218743988
cat__Surname_Mao,0.001311832324365683
cat__Surname_Scott,0.001217401238576642
cat__Surname_Watson,0.0011591140407837648
cat__Surname_Su,0.0011280735183074677
cat__Surname_Tang,0.001103162111035052
cat__Surname_Meng,0.001087681558910341
cat__Surname_Ma,0.0010675648566816993
cat__Surname_Shih,0.0010034575180920624
cat__Surname_Hs?,0.0009982315538772843
cat__Surname_McGregor,0.0009886145238406964
cat__Surname_Kerr,0.0009749487332176939
cat__Surname_Wilson,0.0009700910040456002
cat__Surname_Brown,0.0009685131184420851
cat__Surname_Ferri,0.0009632746533668966
cat__Surname_Jamieson,0.0009498452030303461
cat__Surname_Greco,0.0009440034528463586
cat__Surname_Cocci,0.0009240199841262236
cat__Surname_Napolitani,0.0009116457091682914
cat__Surname_Paterson,0.0009057245717790857
cat__Surname_Wong,0.000897884070829076
cat__Surname_Douglas,0.0008927883275113521
cat__Surname_Sal,0.0008882294884710176
cat__Surname_He,0.0008877526294140802
cat__Surname_Black,0.0008741853956807483
cat__Surname_Lo,0.0008600545977174838
cat__Surname_Lin,0.0008524896684448876
cat__Surname_Yin,0.0008360780637238034
cat__Surname_Fang,0.0008193102843987158
cat__Surname_Manna,0.000819124797630936
cat__Surname_Tu,0.0008189740375628942
cat__Surname_Ko,0.0008155461913638783
cat__Surname_Abramovich,0.0008097290812642338
cat__Surname_Fanucci,0.0008081431260913185
cat__Surname_Yeh,0.0008034470957229354
cat__Surname_Thompson,0.0007883097115098112
cat__Surname_Wu,0.0007647170435472387
cat__Surname_Shen,0.0007601187505962744
cat__Surname_Shao,0.0007592650793985605
cat__Surname_P'eng,0.0007529633542935623
cat__Surname_Genovese,0.0007510586534698486
cat__Surname_Gray,0.0007491983138882536
cat__Surname_Wang,0.0007430064266686599
cat__Surname_White,0.0007400757639293815
cat__Surname_Cattaneo,0.0007295101798155478
cat__Surname_Yu,0.000726751428007257
cat__Surname_Moore,0.0007145451290232796
cat__Surname_Burke,0.0007112377747497738
cat__Surname_Lo Duca,0.0007084593648829592
cat__Surname_Pan,0.0007075481865304668
cat__Surname_Jen,0.0007065694116382921
cat__Surname_Chibugo,0.0007049626144012156
cat__Surname_Cheng,0.0007029821838868393
cat__Surname_Chia,0.0007029388747631922
cat__Surname_Ch'iu,0.0006975208911229523
cat__Surname_Ferguson,0.0006925401511004448
cat__Surname_Calabrese,0.0006915779010432237
cat__Surname_Akobundu,0.000690763652280558
cat__Surname_Chien,0.0006876790904444451
cat__Surname_Chang,0.0006733624233796728
cat__Surname_Manfrin,0.0006701788115233667
cat__Surname_McKay,0.0006608923900308221
cat__Surname_Ting,0.000658928897088989
cat__Surname_Niu,0.0006581083675690332
cat__Surname_Murray,0.0006569826156139283
cat__Surname_Longo,0.0006528909272543115
cat__Surname_Gibson,0.0006515164111468308
cat__Surname_Bergamaschi,0.0006503264366551275
cat__Surname_Mazzanti,0.000646527486665909
cat__Surname_Duncan,0.0006452055442577394
cat__Surname_Marcelo,0.0006437003972187381
cat__Surname_Olisaemeka,0.0006421789913271044
cat__Surname_McIntyre,0.0006420552635683974
cat__Surname_Crawford,0.0006397937751191046
cat__Surname_Miller,0.0006381696834517085
cat__Surname_Johnstone,0.0006335949948700298
